duration,start_station_name
435,San Francisco City Hall
432,San Francisco City Hall
1523,Embarcadero at Sansome
1620,Steuart at Market
1617,Steuart at Market
779,Steuart at Market
784,Steuart at Market
721,Steuart at Market
624,5th at Howard
574,5th at Howard
1600,Harry Bridges Plaza (Ferry Building)
3691,Steuart at Market
3793,Steuart at Market
3788,Steuart at Market
3626,Steuart at Market
805,Steuart at Market
769,Steuart at Market
1157,Steuart at Market
1159,Steuart at Market
477,Beale at Market
966,Embarcadero at Folsom
1211,Beale at Market
795,Embarcadero at Folsom
1024,Beale at Market
901,2nd at South Park
881,2nd at South Park
794,2nd at South Park
733,2nd at South Park
903,Embarcadero at Sansome
873,Embarcadero at Sansome
478,Powell Street BART
307,Beale at Market
52577,Howard at 2nd
52395,Howard at 2nd
52223,Howard at 2nd
497,2nd at Townsend
42617,Howard at 2nd
52028,Howard at 2nd
967,South Van Ness at Market
981,San Francisco City Hall
3723,2nd at Folsom
662,Market at 4th
1352,Market at 10th
5987,Market at Sansome
5974,Market at Sansome
1130,Market at 10th
769,Embarcadero at Bryant
661,Market at 10th
324,Harry Bridges Plaza (Ferry Building)
1056,Embarcadero at Sansome
712,Powell Street BART
1504,Embarcadero at Bryant
264,Temporary Transbay Terminal (Howard at Beale)
1026,Civic Center BART (7th at Market)
1423,San Francisco Caltrain 2 (330 Townsend)
14747,Harry Bridges Plaza (Ferry Building)
14676,Harry Bridges Plaza (Ferry Building)
737,San Francisco Caltrain 2 (330 Townsend)
755,San Francisco Caltrain 2 (330 Townsend)
546,Market at 4th
876,Market at 4th
829,Market at 4th
250,Market at Sansome
426,Powell Street BART
620,Embarcadero at Bryant
1574,San Francisco Caltrain 2 (330 Townsend)
788,Grant Avenue at Columbus Avenue
1702,San Francisco City Hall
2203,Steuart at Market
1843,San Francisco City Hall
437,Grant Avenue at Columbus Avenue
363,Howard at 2nd
17132,Market at 4th
1621,Harry Bridges Plaza (Ferry Building)
307,2nd at Townsend
824,Grant Avenue at Columbus Avenue
765,Grant Avenue at Columbus Avenue
1018,Harry Bridges Plaza (Ferry Building)
1003,Harry Bridges Plaza (Ferry Building)
3562,San Francisco City Hall
3562,San Francisco City Hall
5114,Embarcadero at Bryant
5040,Embarcadero at Bryant
919,South Van Ness at Market
1075,Townsend at 7th
746,South Van Ness at Market
695,Embarcadero at Vallejo
711,Embarcadero at Vallejo
943,Townsend at 7th
2421,Washington at Kearney
2300,Washington at Kearney
2284,Washington at Kearney
445,Spear at Folsom
2096,Washington at Kearney
2075,Washington at Kearney
1975,Market at 4th
889,San Francisco Caltrain (Townsend at 4th)
1931,Market at 4th
337,Davis at Jackson
804,Clay at Battery
824,Clay at Battery
3431,Golden Gate at Polk
3429,Golden Gate at Polk
315,Market at 4th
739,2nd at Townsend
1081,Yerba Buena Center of the Arts (3rd @ Howard)
956,2nd at South Park
962,2nd at South Park
1958,Powell Street BART
2137,San Francisco Caltrain (Townsend at 4th)
